Название раздела,Название товара,Изображение,Артикул,Описание,Производитель
Аксессуары,"Поворотная муфта, пиперазин дитиокарбамат цинка",https://himbio.ru/upload/resize_cache/webp/bitrix/templates/aspro_mshop/images/no_photo_medium.webp,LABH8888SBL,"– Крепежный узел изготовлен из алюминия и стали
– Может удерживать стержень до 16 мм
– Алюминий покрыт порошковым покртием, а сталь никелирована",БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Аксессуары,"Шпатель для мази с деревянной ручкой, 152 мм",https://himbio.ru/upload/resize_cache/webp/bitrix/templates/aspro_mshop/images/no_photo_medium.webp,LASO8888W06,– Изготовлн из неравеющей стали,БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Аксессуары,"Пинцет, 6 дюймов, 152 мм",https://himbio.ru/upload/resize_cache/webp/bitrix/templates/aspro_mshop/images/no_photo_medium.webp,LAFB8888006,– Изготовлн из неравеющей стали,БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Аксессуары,"Горелка, основание из листового металла,с 13 мм трубкой, для СУГ",https://himbio.ru/upload/resize_cache/webp/bitrix/templates/aspro_mshop/images/no_photo_medium.webp,LABR8888013,Нет описания данного товара,БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Аксессуары,"Пинцет, 8 дюймов, 203 мм",https://himbio.ru/upload/resize_cache/webp/bitrix/templates/aspro_mshop/images/no_photo_medium.webp,LAFB8888008,– Изготовлн из неравеющей стали,БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Аксессуары,"Горелка Бунзена, основание из пиперазин дитиокарбамат цинка, с 13 мм медной трубой, для СУГ",https://himbio.ru/upload/resize_cache/webp/bitrix/templates/aspro_mshop/images/no_photo_medium.webp,LABR8888Z13,Нет описания данного товара,БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
Аксессуары,"Кольцо с крепежным узлом, 4 дюйма",https://himbio.ru/upload/resize_cache/webp/bitrix/templates/aspro_mshop/images/no_photo_medium.webp,LARR8888004,Нет описания данного товара,БОРОСИЛ ГЛАСС ВОРКС ЛИМИТЕД
,,,,,
